"","level","start","end"
"1",1,23752,73889363
"2",2,516298,516643
"3",2,559477,560445
"4",3,559477,560445
"5",2,578513,579147
"6",3,578513,579147
"7",2,637370,637955
"8",3,637370,637955
"9",2,670344,670852
"10",2,708931,710400
"11",3,708931,710400
"12",2,956576,957152
"13",2,1971243,1971923
"14",3,1971243,1971923
"15",2,2043150,2056906
"16",3,2043150,2045508
"17",3,2048471,2050535
"18",2,2366796,2383089
"19",3,2366796,2367426
"20",2,2436979,2437474
"21",2,2660753,2661263
"22",2,2686450,2693149
"23",3,2686450,2688287
"24",2,2714462,2714995
"25",3,2714462,2714995
"26",2,2734714,2735317
"27",2,2998480,2999152
"28",3,2998480,2999152
"29",2,3380292,3381551
"30",3,3380292,3381551
"31",2,3733682,3738797
"32",3,3733682,3734805
"33",2,3768990,3770657
"34",3,3768990,3769935
"35",2,3958129,3961865
"36",3,3960681,3961865
"37",2,4003439,4004016
"38",2,4042716,4047342
"39",3,4046328,4047342
"40",2,4102289,4110926
"41",3,4102289,4105954
"42",2,4120430,4127605
"43",3,4120430,4123821
"44",2,4151492,4153641
"45",3,4151492,4153641
"46",2,4313503,4313960
"47",2,4379984,4380892
"48",3,4379984,4380892
"49",2,4435548,4436031
"50",2,4647073,4652392
"51",2,4974274,4975222
"52",3,4974274,4975222
"53",2,5328974,5329491
"54",2,5367857,5368233
"55",2,5989811,5990160
"56",2,6390650,6391917
"57",3,6390650,6391290
"58",2,6545082,6547197
"59",3,6545082,6546496
"60",2,6570601,6571132
"61",2,6589944,6590617
"62",2,6847972,6854047
"63",3,6847972,6848474
"64",2,6898200,6921988
"65",2,7085552,7089291
"66",3,7085552,7086848
"67",2,7128894,7130625
"68",3,7128894,7130625
"69",2,7169558,7170594
"70",3,7169558,7170594
"71",2,7231971,7232644
"72",2,7280314,7285770
"73",3,7284981,7285770
"74",2,7297571,7302608
"75",2,7413803,7418516
"76",2,7617612,7618294
"77",3,7617612,7618294
"78",2,7739176,7739646
"79",2,7951057,7952055
"80",3,7951057,7952055
"81",2,7973308,7978190
"82",2,8016975,8024122
"83",2,8124776,8125381
"84",2,8252989,8253642
"85",3,8252989,8253642
"86",2,8350154,8351008
"87",2,8376272,8378819
"88",2,8492656,8507372
"89",2,9044272,9045560
"90",3,9044272,9044937
"91",2,9073398,9074124
"92",3,9073398,9074124
"93",2,9237737,9257055
"94",3,9237737,9238926
"95",2,9427416,9428298
"96",3,9427416,9428298
"97",2,9753383,9754045
"98",3,9753383,9754045
"99",2,9813413,9817040
"100",2,9834147,9834754
"101",2,9956584,9957411
"102",2,9980098,9980861
"103",2,10101583,10102346
"104",3,10101583,10102346
"105",2,10155499,10155972
"106",2,10200886,10209103
"107",3,10208232,10209103
"108",2,10323476,10324378
"109",2,10488595,10490190
"110",3,10488595,10489357
"111",2,10576967,10577795
"112",2,10867126,10867748
"113",2,10888322,10888769
"114",2,11072121,11088440
"115",2,11269460,11270350
"116",2,11341082,11342687
"117",2,11374071,11375235
"118",3,11374071,11375235
"119",2,11634176,11643939
"120",2,11772957,11774037
"121",3,11772957,11774037
"122",2,11920179,11921635
"123",2,11967654,11977504
"124",3,11967654,11968915
"125",2,12037159,12040033
"126",3,12037159,12037917
"127",2,12110084,12113654
"128",2,12161443,12169659
"129",3,12161443,12162543
"130",2,12191235,12203514
"131",3,12194122,12194673
"132",2,12467551,12468236
"133",3,12467551,12468236
"134",2,12752850,12754037
"135",3,12752850,12754037
"136",2,12878306,12879988
"137",2,13100089,13106380
"138",3,13100089,13100704
"139",2,13178367,13183409
"140",2,13259156,13259495
"141",2,13307972,13308535
"142",2,13543082,13545431
"143",3,13543082,13544499
"144",2,13671448,13672036
"145",2,13720169,13720588
"146",2,13814913,13815257
"147",2,13837438,13838021
"148",2,14005002,14016604
"149",3,14010822,14012677
"150",2,14049225,14065905
"151",2,14162819,14163876
"152",3,14162819,14163876
"153",2,14241625,14242098
"154",2,14257497,14258677
"155",3,14257497,14258677
"156",2,14332086,14333333
"157",2,14423298,14424262
"158",2,14433623,14434259
"159",2,14536847,14537834
"160",2,14882740,14887871
"161",3,14882740,14883236
"162",2,14936699,14958054
"163",3,14936699,14937568
"164",2,15094999,15096796
"165",2,15162026,15162615
"166",2,15351874,15356491
"167",3,15351874,15352600
"168",2,15390844,15391345
"169",2,15432910,15433568
"170",2,15634203,15635270
"171",3,15634203,15635270
"172",2,15728480,15729368
"173",2,15743955,15744670
"174",2,15768992,15771176
"175",2,15831768,15833026
"176",2,15886001,15900588
"177",2,16117394,16132856
"178",3,16117394,16118153
"179",2,16252867,16254407
"180",2,16330770,16338091
"181",3,16337132,16338091
"182",2,16365896,16371070
"183",2,16394691,16395342
"184",3,16394691,16395342
"185",2,16461177,16462357
"186",3,16461177,16462357
"187",2,16572232,16573099
"188",2,16613476,16613954
"189",2,16659554,16660394
"190",3,16659554,16660394
"191",2,16672918,16674618
"192",2,16796584,16797136
"193",2,16929851,16930273
"194",2,17077590,17078985
"195",3,17077590,17078985
"196",2,17182314,17183142
"197",2,17230491,17232082
"198",3,17230491,17232082
"199",2,17320621,17321948
"200",2,17536783,17545772
"201",2,17556116,17560255
"202",2,17672502,17676043
"203",3,17672502,17673247
"204",2,17714380,17715566
"205",2,17990256,18021260
"206",3,17990256,17990813
"207",2,18054431,18055206
"208",2,18093183,18100403
"209",2,18195454,18212383
"210",3,18202621,18203656
"211",2,18370553,18388082
"212",2,18418373,18419435
"213",2,18462035,18463228
"214",2,18523710,18530515
"215",3,18525728,18526953
"216",2,18563803,18583810
"217",3,18582745,18583810
"218",2,18697617,18707116
"219",2,18722905,18723470
"220",2,18747420,18750292
"221",2,18927930,18943901
"222",2,18981088,18982014
"223",2,18989538,18997529
"224",2,19049601,19053083
"225",2,19185970,19186567
"226",2,19205214,19210826
"227",2,19281824,19282490
"228",2,19510817,19526274
"229",2,19660653,19661215
"230",2,19700458,19700928
"231",2,19816079,19816793
"232",3,19816079,19816793
"233",2,19971964,19981815
"234",2,20068617,20070370
"235",2,20148895,20149587
"236",2,20163791,20164601
"237",2,20218685,20221102
"238",2,20284232,20295248
"239",2,20330874,20343333
"240",2,20456958,20461180
"241",2,20534926,20538072
"242",2,20614927,20626185
"243",3,20614927,20615735
"244",2,20657334,20690082
"245",3,20657334,20658442
"246",2,20746217,20746855
"247",2,20857596,20858552
"248",2,20875501,20891518
"249",2,20903324,20909011
"250",2,20916431,20921798
"251",2,21013449,21014533
"252",2,21096036,21102147
"253",2,21260163,21262410
"254",2,21309649,21311206
"255",2,21346284,21346934
"256",2,21454747,21457420
"257",3,21454747,21455293
"258",2,21755636,21756004
"259",2,21873717,21874396
"260",2,22053603,22056109
"261",2,22277315,22294997
"262",2,22448945,22452849
"263",3,22448945,22449758
"264",2,22563765,22564160
"265",2,22641588,22642108
"266",2,22650906,22657036
"267",3,22650906,22652655
"268",2,22739102,22739766
"269",2,22837365,22840328
"270",3,22839369,22840328
"271",2,22921351,22921826
"272",2,22965803,22969338
"273",2,22991768,22996337
"274",2,23011130,23015506
"275",2,23029507,23030657
"276",3,23029507,23030657
"277",2,23085797,23095119
"278",2,23113001,23113472
"279",2,23245971,23251164
"280",2,23278456,23280850
"281",2,23395873,23396316
"282",2,23403844,23404957
"283",2,23413086,23417994
"284",2,23443552,23444197
"285",2,23507972,23508518
"286",2,23628049,23629102
"287",3,23628049,23628573
"288",2,23663501,23666122
"289",2,23826690,23830691
"290",2,23995268,23995818
"291",2,24191709,24192231
"292",2,24313845,24316534
"293",3,24313845,24315032
"294",2,24414953,24416723
"295",3,24414953,24415803
"296",2,24530993,24542665
"297",2,24744027,24760890
"298",3,24744027,24745040
"299",2,24811122,24812182
"300",3,24811122,24812182
"301",2,24884562,24884956
"302",2,24970419,24972154
"303",2,25038772,25046609
