"","level","start","end"
"1",1,21096,73831564
"2",2,21096,21984
"3",3,21096,21984
"4",2,479626,505106
"5",2,730898,746065
"6",2,816338,916611
"7",3,816338,829991
"8",3,838570,838899
"9",2,1006849,1100004
"10",2,1206344,1207591
"11",2,1440285,1506237
"12",2,1670643,1718032
"13",3,1686549,1689623
"14",2,1854312,1856047
"15",2,2037324,2052338
"16",2,3834760,3838049
"17",2,3893873,4056644
"18",3,3896388,3897421
"19",3,3939699,3940498
"20",2,4160403,4169721
"21",2,4712677,4716051
"22",2,5096461,5140270
"23",3,5096461,5097344
"24",2,5189453,5197949
"25",2,5435767,5446053
"26",2,5617355,5635091
"27",3,5617355,5617733
"28",2,5744382,5769585
"29",2,6118396,6174815
"30",3,6156112,6156871
"31",3,6174350,6174815
"32",2,6313858,6362779
"33",2,6576160,6579149
"34",2,6867725,6885188
"35",2,6927138,7119079
"36",3,7018143,7019153
"37",3,7085196,7087179
"38",2,7257770,7262205
"39",2,7366892,7367427
"40",3,7366892,7367427
"41",4,7366892,7367427
"42",2,7615306,7698658
"43",3,7615306,7615891
"44",4,7615306,7615891
"45",3,7695939,7698658
"46",2,7727791,7760000
"47",3,7759138,7760000
"48",2,7827736,7842710
"49",2,7925405,7931488
"50",3,7925405,7926762
"51",2,8088399,8088672
"52",3,8088399,8088672
"53",2,8203370,8223803
"54",2,8364520,8370105
"55",2,8417013,8476414
"56",3,8417013,8417478
"57",3,8459536,8460571
"58",2,9227783,9260705
"59",3,9232458,9241310
"60",2,9309785,9331342
"61",2,9889307,9955050
"62",3,9889307,9894617
"63",3,9919222,9919779
"64",3,9938442,9940567
"65",2,10686200,10690803
"66",2,11402346,11428653
"67",3,11402346,11409356
"68",4,11402346,11403187
"69",3,11428238,11428653
"70",2,11664082,11682082
"71",3,11664082,11664806
"72",2,12003866,12043441
"73",3,12043097,12043441
"74",2,12079568,12079924
"75",3,12079568,12079924
"76",2,12262291,12262617
"77",3,12262291,12262617
"78",2,12462724,12467534
"79",2,13056035,13068441
"80",2,13196971,13202870
"81",3,13199834,13202870
"82",2,13314543,13315330
"83",3,13314543,13315330
"84",2,13422131,13423823
"85",3,13422131,13423823
"86",2,13575513,13576004
"87",3,13575513,13576004
"88",2,13692523,13694069
"89",2,13913083,13943477
"90",3,13913083,13913385
"91",3,13942775,13943477
"92",2,14144570,14147142
"93",2,14268984,14269599
"94",3,14268984,14269599
"95",2,14367330,14371015
"96",2,14779532,14801920
"97",3,14779532,14780061
"98",2,14933205,14956901
"99",2,15055284,15070580
"100",2,15186679,15194503
"101",2,15265416,15277740
"102",2,15329971,15340433
"103",2,15708765,15723452
"104",3,15722569,15723452
"105",2,15782124,15806764
"106",3,15804443,15806764
"107",2,16154237,16202191
"108",3,16185603,16185886
"109",3,16201875,16202191
"110",2,16271857,16286293
"111",2,16349316,16385401
"112",3,16349316,16349900
"113",4,16349316,16349900
"114",2,16463296,16493064
"115",2,16578093,16588376
"116",3,16578093,16580411
"117",2,16762714,16776484
"118",3,16771795,16772957
"119",2,16804725,16888017
"120",3,16804725,16808243
"121",4,16804725,16805300
"122",2,17443649,17460507
"123",3,17451593,17452373
"124",2,17825168,17859488
"125",2,18205826,18236704
"126",3,18205826,18206148
"127",3,18227302,18227945
"128",4,18227302,18227945
"129",2,18385276,18390757
"130",2,18428090,18440671
"131",2,18600676,18609540
"132",2,18663133,18663492
"133",3,18663133,18663492
"134",2,18781369,18819244
"135",3,18784797,18788166
"136",4,18784797,18786180
"137",2,19298854,19317788
"138",2,19420543,19423130
"139",2,19688607,19692050
"140",2,20164047,20168324
"141",3,20168117,20168324
"142",4,20168117,20168324
"143",2,20578323,20613268
"144",2,21427856,21436666
"145",3,21435638,21436666
"146",2,21932229,21959951
"147",2,23657450,23658705
"148",3,23657450,23658705
"149",2,23828050,23889244
"150",2,24237187,24263824
"151",2,24635850,24701716
"152",2,24827592,24832420
"153",3,24827592,24832420
"154",2,24924910,24930596
"155",2,25111731,25158967
"156",2,25251280,25251804
"157",3,25251280,25251804
"158",2,25335649,25339443
"159",2,25955063,25971388
"160",2,26408922,26426246
"161",2,26684281,26723006
"162",3,26684281,26686697
"163",3,26694074,26701052
"164",2,28742558,28745326
"165",3,28742558,28745326
"166",4,28742558,28744018
"167",2,28958078,28973233
"168",2,29331116,29337007
"169",2,30179333,30221552
"170",2,30540320,30564151
"171",2,31444950,31449765
"172",3,31444950,31449765
"173",2,31747089,31761524
"174",2,33241790,33244102
"175",2,34020831,34024388
"176",2,34166008,34177119
"177",2,34691629,34706663
"178",2,35994668,36043366
"179",2,36152967,36166033
"180",2,37345631,37350890
"181",2,37945436,37946452
"182",3,37945436,37946452
"183",2,38250817,38268712
"184",2,39876444,39882117
"185",2,40446168,40504481
"186",2,42564763,42570863
"187",2,43268175,43285288
"188",2,45233449,45268804
"189",2,45314209,45330187
"190",2,49025735,49029428
"191",2,49868378,49885231
"192",2,51222413,51230032
"193",2,54280770,54288476
"194",2,55590255,55600535
"195",2,57147165,57165959
"196",2,57564553,57576661
"197",2,59403326,59403769
"198",3,59403326,59403769
"199",2,59814347,59830746
"200",2,61967124,61983129
"201",2,63551661,63552293
"202",3,63551661,63552293
"203",2,63917572,63923049
"204",2,64261284,64287711
"205",2,68211679,68219395
"206",3,68211679,68219395
"207",2,68597779,68602807
"208",2,69466263,69467149
"209",3,69466263,69467149
"210",2,70493049,70502403
"211",3,70493049,70494701
