"","level","start","end"
"1",1,43750,73365784
"2",2,43750,44308
"3",3,43750,44308
"4",2,74750,85236
"5",3,74750,75853
"6",2,113192,127228
"7",3,113192,113582
"8",3,126535,127228
"9",2,171237,171605
"10",3,171237,171605
"11",2,212130,212483
"12",3,212130,212483
"13",2,251787,260478
"14",3,251787,252831
"15",3,259486,260478
"16",2,298655,356426
"17",3,325904,326284
"18",3,355932,356426
"19",2,431369,432059
"20",3,431369,432059
"21",2,481845,502137
"22",3,497849,502137
"23",2,566219,573105
"24",3,566219,566521
"25",2,629447,632344
"26",3,629447,632344
"27",2,668740,696821
"28",2,757384,768588
"29",3,757384,757769
"30",3,768217,768588
"31",2,818557,830482
"32",3,818557,818905
"33",2,909120,909501
"34",3,909120,909501
"35",2,976921,987033
"36",3,986665,987033
"37",2,1015053,1112230
"38",3,1015053,1015402
"39",2,1144592,1145057
"40",3,1144592,1145057
"41",2,1178697,1179001
"42",3,1178697,1179001
"43",2,1218998,1238651
"44",3,1218998,1219409
"45",2,1274789,1286742
"46",3,1274789,1275117
"47",2,1336780,1337297
"48",3,1336780,1337297
"49",2,1417171,1436074
"50",3,1417171,1417741
"51",2,1555540,1569275
"52",3,1555540,1556173
"53",2,1624908,1625933
"54",3,1624908,1625933
"55",2,1658757,1659393
"56",3,1658757,1659393
"57",2,1699372,1750121
"58",3,1699372,1702745
"59",3,1740236,1740684
"60",2,1800330,1840328
"61",2,1950486,1950986
"62",3,1950486,1950986
"63",2,2001820,2002253
"64",3,2001820,2002253
"65",2,2032490,2033301
"66",3,2032490,2033301
"67",2,2089737,2091425
"68",3,2089737,2091425
"69",2,2125080,2125462
"70",3,2125080,2125462
"71",2,2165233,2194999
"72",3,2189403,2190400
"73",2,2225553,2266101
"74",3,2260937,2261694
"75",2,2321511,2333031
"76",3,2321511,2321929
"77",2,2355697,2394953
"78",3,2355697,2360479
"79",2,2421190,2421588
"80",3,2421190,2421588
"81",2,2458966,2602653
"82",3,2458966,2459360
"83",3,2474198,2474619
"84",3,2579382,2579779
"85",2,2629738,2659696
"86",2,2748543,2790852
"87",3,2748543,2749033
"88",3,2762616,2764400
"89",2,2826372,2842946
"90",3,2842568,2842946
"91",2,2867131,2867490
"92",3,2867131,2867490
"93",2,2932636,2932955
"94",3,2932636,2932955
"95",2,2958688,2978952
"96",2,3033276,3050140
"97",3,3033276,3033817
"98",2,3073371,3092899
"99",3,3073371,3073879
"100",3,3089090,3092899
"101",2,3167436,3167740
"102",3,3167436,3167740
