"","level","start","end"
"1",1,29257,73841611
"2",2,476311,505543
"3",2,696945,697366
"4",3,696945,697366
"5",2,735012,776139
"6",2,908472,930886
"7",2,1020293,1026592
"8",3,1020293,1020930
"9",2,1267577,1270928
"10",2,1321714,1351826
"11",2,1403208,1422220
"12",3,1420259,1422220
"13",4,1420259,1420609
"14",2,1832391,1848902
"15",2,2561570,2589377
"16",2,2829952,2877295
"17",2,3110298,3110560
"18",3,3110298,3110560
"19",2,3406183,3409124
"20",3,3408564,3409124
"21",4,3408564,3409124
"22",2,3683076,3703500
"23",2,3758990,3773041
"24",2,4251501,4252078
"25",3,4251501,4252078
"26",2,4562995,4576924
"27",2,5054971,5109317
"28",2,5425534,5425905
"29",3,5425534,5425905
"30",2,5495783,5518673
"31",3,5495783,5498184
"32",2,5773836,5810021
"33",2,6152300,6189992
"34",2,6312546,6358700
"35",2,6511018,6512749
"36",3,6511018,6512749
"37",2,6850196,6863761
"38",2,6918506,6947077
"39",2,7318795,7350206
"40",2,7969824,7994857
"41",2,8156106,8188514
"42",2,8422317,8434692
"43",2,8566748,8567332
"44",3,8566748,8567332
"45",2,8701647,8712709
"46",2,9303481,9305219
"47",3,9303481,9305219
"48",2,9448918,9450211
"49",2,9600647,9621780
"50",2,9781565,9786234
"51",3,9781565,9781782
"52",2,10376629,10399271
"53",2,10497560,10531670
"54",2,10810543,10832989
"55",2,10941853,10945950
"56",2,11000684,11040512
"57",2,11310440,11338898
"58",2,11364685,11375561
"59",2,11503687,11508203
"60",2,11836076,11854287
"61",2,12168753,12169153
"62",3,12168753,12169153
"63",2,12370998,12389486
"64",3,12370998,12371244
"65",2,12945144,12950585
"66",2,13061741,13088545
"67",3,13088114,13088545
"68",4,13088114,13088545
"69",2,13394330,13394633
"70",3,13394330,13394633
"71",2,14571911,14588122
"72",3,14571911,14576010
"73",2,14751131,14755188
"74",3,14751131,14751671
"75",4,14751131,14751671
"76",2,14811603,14815107
"77",2,15003246,15015817
"78",2,15152567,15159734
"79",2,15439383,15465660
"80",2,15586536,15586825
"81",3,15586536,15586825
"82",2,15610532,15627584
"83",3,15615071,15615497
"84",2,16024645,16062016
"85",3,16061571,16062016
"86",2,16317126,16323566
"87",3,16317126,16319649
"88",2,16364695,16368861
"89",2,16463474,16467504
"90",2,16605935,16610406
"91",2,16669367,16672820
"92",2,16852353,16856293
"93",2,16890358,16911594
"94",2,17047507,17076933
"95",3,17056756,17057346
"96",4,17056756,17057346
"97",2,17107999,17118553
"98",2,17510430,17529974
"99",3,17510430,17518903
"100",2,18154781,18185357
"101",2,18235684,18291770
"102",2,18362922,18383308
"103",2,18495673,18500004
"104",2,18605610,18636822
"105",2,18969319,18977097
"106",2,19030929,19053456
"107",3,19030929,19033760
"108",4,19031638,19032085
"109",2,19152401,19158981
"110",2,19472105,19530413
"111",3,19472105,19472484
"112",4,19472105,19472484
"113",3,19488581,19492717
"114",2,19569800,19572999
"115",2,19950489,19972273
"116",3,19950489,19950879
"117",2,20506648,20508810
"118",2,21466562,21469725
"119",2,21563737,21572573
"120",2,22766849,22776955
"121",3,22772103,22772867
"122",2,23410647,23421044
"123",2,24630543,24640664
"124",3,24630543,24631128
"125",2,25442992,25443480
"126",3,25442992,25443480
"127",2,25938544,25955021
"128",3,25954747,25955021
"129",2,27161111,27163044
"130",3,27161111,27163044
"131",2,27275827,27283275
"132",3,27282538,27283275
"133",2,27633752,27658593
"134",3,27650727,27654553
"135",4,27650727,27651128
"136",2,28085680,28119010
"137",3,28095986,28104465
"138",2,28772315,28783370
"139",2,29946883,29988028
"140",3,29946883,29947366
"141",2,30429250,30442747
"142",2,30949336,30953515
"143",2,31010070,31053888
"144",3,31010070,31010514
"145",4,31010070,31010514
"146",3,31034559,31042456
"147",2,31432632,31449576
"148",3,31432632,31436967
"149",4,31432632,31433044
"150",2,31828159,31835639
"151",3,31832289,31835639
"152",2,32314060,32314396
"153",3,32314060,32314396
"154",2,32557641,32561502
"155",2,32949358,32961769
"156",3,32949358,32950215
"157",2,35610806,35616177
"158",3,35615785,35616177
"159",2,36426139,36466377
"160",2,37476581,37479821
"161",2,38871076,38871712
"162",3,38871076,38871712
"163",4,38871076,38871712
"164",2,39111158,39142459
"165",2,39279942,39290706
"166",2,40088924,40092045
"167",3,40088924,40092045
"168",2,40213298,40214183
"169",3,40213298,40214183
"170",4,40213298,40214183
"171",2,41016292,41016596
"172",3,41016292,41016596
"173",2,41632024,41647622
"174",3,41647157,41647622
"175",2,41877946,41878538
"176",3,41877946,41878538
"177",2,42592884,42610433
"178",3,42592884,42593212
"179",2,43247152,43252440
"180",3,43247152,43247577
"181",4,43247152,43247577
"182",2,43456515,43474857
"183",2,43836783,43840229
"184",3,43836783,43837164
"185",4,43836783,43837164
"186",2,44316376,44328215
"187",3,44316376,44321112
"188",2,44754128,44754635
"189",3,44754128,44754635
"190",2,44943107,44959678
"191",3,44950884,44951606
"192",2,45044627,45044949
"193",3,45044627,45044949
"194",2,45987613,45988142
"195",3,45987613,45988142
"196",4,45987613,45988142
"197",2,46905700,46907921
"198",3,46905700,46907921
"199",2,47017151,47017604
"200",3,47017151,47017604
"201",2,48637380,48657812
"202",3,48637380,48638074
"203",2,48772350,48832949
"204",3,48780358,48780966
"205",3,48819469,48820338
"206",2,49059789,49084690
"207",3,49059789,49060131
"208",2,49110242,49122328
"209",3,49110242,49110905
"210",2,49400837,49426936
"211",3,49404312,49409576
"212",2,50251713,50252748
"213",3,50251713,50252748
"214",2,50605940,50631479
"215",3,50605940,50615916
"216",3,50622853,50627058
"217",2,51006019,51020343
"218",2,51093408,51114059
"219",3,51093408,51093700
"220",2,52536597,52548542
"221",3,52536597,52536903
"222",3,52548041,52548542
"223",4,52548041,52548542
"224",2,52735394,52753826
"225",3,52735394,52735817
"226",2,52961973,52984229
"227",3,52961973,52962500
"228",4,52961973,52962500
"229",2,53274221,53294734
"230",3,53274221,53274576
"231",3,53294229,53294734
"232",4,53294229,53294734
"233",2,53419367,53423461
"234",2,53644527,53645076
"235",3,53644527,53645076
"236",2,53952674,53964317
"237",3,53952674,53952959
"238",3,53963734,53964317
"239",2,54180573,54181073
"240",3,54180573,54181073
"241",4,54180573,54181073
"242",2,54237563,54237845
"243",3,54237563,54237845
"244",2,54261925,54266491
"245",3,54261925,54262557
"246",2,54530531,54533861
"247",3,54530531,54531055
"248",4,54530531,54531055
"249",2,54838404,54840876
"250",2,54886070,54893821
"251",3,54886070,54886409
"252",2,55093287,55094030
"253",3,55093287,55094030
"254",2,55148581,55149119
"255",3,55148581,55149119
"256",4,55148581,55149119
"257",2,55729744,55760266
"258",3,55729744,55730044
"259",3,55759406,55760266
"260",2,55832869,55861210
"261",3,55832869,55833201
"262",2,55958866,55971193
"263",2,56079548,56088749
"264",3,56088466,56088749
"265",2,56185582,56196352
"266",2,56231801,56232172
"267",3,56231801,56232172
"268",2,56505998,56506396
"269",3,56505998,56506396
"270",2,56976781,56981280
"271",3,56976781,56977541
"272",2,57043859,57047033
"273",3,57043859,57044059
"274",2,57198381,57198855
"275",3,57198381,57198855
"276",4,57198381,57198855
"277",2,57256207,57262400
"278",3,57256207,57256737
"279",3,57262129,57262400
"280",2,57353312,57370553
"281",3,57362507,57363051
"282",4,57362507,57363051
"283",2,57429463,57429842
"284",3,57429463,57429842
"285",2,57507752,57508690
"286",3,57507752,57508690
"287",4,57507752,57508310
"288",2,58084833,58097672
"289",3,58094154,58097672
"290",2,58565696,58566010
"291",3,58565696,58566010
"292",2,58635234,58636506
"293",3,58635234,58636506
"294",2,58673393,58679200
"295",3,58673393,58673665
"296",2,58746363,58747136
"297",3,58746363,58747136
"298",2,59148852,59151795
"299",2,59836244,59842192
"300",3,59841575,59842192
"301",2,60707910,60714723
"302",2,61141243,61151590
"303",3,61141243,61151590
"304",4,61141243,61141795
"305",2,61247897,61249765
"306",2,61753289,61753876
"307",3,61753289,61753876
"308",2,62011459,62035733
"309",3,62016993,62017736
"310",3,62035274,62035733
"311",2,62221204,62222519
"312",2,63544575,63584788
"313",3,63550811,63551901
"314",2,63611135,63614359
"315",2,63707057,63717016
"316",2,63778622,63781745
"317",2,63928666,63973743
"318",2,64249930,64320328
"319",3,64274171,64282793
"320",3,64287501,64288668
"321",3,64318573,64320328
"322",2,66099268,66106069
"323",2,66676345,66707648
"324",2,68428816,68429653
"325",3,68428816,68429653
"326",2,69059736,69060077
"327",3,69059736,69060077
"328",4,69059736,69060077
"329",2,69358938,69366056
"330",3,69358938,69359352
"331",4,69358938,69359352
"332",2,69696917,69705969
"333",3,69696917,69697174
"334",2,70350089,70355845
"335",3,70350089,70355845
"336",2,70460834,70467712
"337",2,70741789,70745664
"338",2,70994303,71009072
"339",3,71008369,71009072
"340",2,71462767,71472052
"341",2,71601198,71614913
"342",3,71614372,71614913
"343",4,71614372,71614913
"344",2,71896457,71902961
"345",3,71902654,71902961
"346",2,72689556,72737631
"347",2,72957110,72970459
"348",2,73118531,73122823
"349",2,73839790,73841611
