"","level","start","end"
"1",1,0.00977261404749407,191.803401576939
"2",2,14.7651428225748,14.7877982526578
"3",2,17.9257343110711,17.977094376194
"4",2,27.0912509056059,27.2662134991424
"5",2,43.4810187331908,43.5752924716003
"6",2,44.1416538790336,44.2788794902695
"7",2,46.8457518606647,47.0693420397736
"8",2,48.9350245883131,49.1084243460785
"9",2,71.059236973252,71.1154987879302
"10",2,88.1936898298565,88.3781838765678
"11",2,111.338720899446,111.580887152237
"12",2,114.257927066858,114.318431424385
"13",2,135.027947138841,135.052334376224
"14",2,153.201454711821,153.287291498671
"15",2,155.902294692594,156.004704371965
"16",2,163.107084304886,163.123176278537
"17",2,183.184977738575,183.289859624133
