"","level","start","end"
"251",2,10295005,10299944
"252",2,10367506,10399271
"253",3,10371240,10372784
"254",2,10522704,10527211
"255",2,10604462,10622443
"256",2,10672843,10674488
"257",2,10757534,10777483
"258",2,10810543,10832989
"259",2,10846489,10847110
"260",2,10888106,10891458
"261",3,10890656,10891458
"262",2,10995757,11016206
"263",2,11038153,11040512
"264",2,11069409,11069865
"265",2,11136475,11156387
"266",2,11233810,11241702
"267",3,11240891,11241702
"268",2,11324481,11330143
"269",2,11372485,11377773
"270",2,11448251,11449946
"271",3,11449212,11449946
"272",2,11503687,11512035
"273",2,11542104,11578844
"274",2,11629946,11635208
"275",3,11629946,11632730
"276",2,11666379,11667171
"277",2,11731746,11734190
"278",2,11750144,11761140
"279",2,11868882,11870036
"280",2,11995649,11995989
"281",2,12007938,12008345
"282",2,12099711,12107976
"283",2,12168753,12180547
"284",2,12277025,12277735
"285",3,12277025,12277735
"286",2,12333535,12351611
"287",3,12333535,12334727
"288",2,12368261,12371244
"289",3,12370998,12371244
"290",2,12477966,12478431
"291",2,12497627,12523625
"292",2,12554499,12582388
"293",2,12613081,12613562
"294",2,12710768,12724163
"295",3,12723310,12724163
"296",2,12786514,12787053
"297",2,12802396,12803920
"298",2,12857899,12862232
"299",2,12879686,12896887
"300",2,12930851,12950585
"301",3,12935374,12936366
"302",2,12964812,12981102
"303",3,12979912,12981102
"304",2,13061741,13068780
"305",2,13088114,13097718
"306",3,13088114,13088545
"307",2,13133408,13134373
"308",2,13222872,13237719
"309",2,13262553,13276369
"310",3,13262553,13263394
"311",2,13315546,13315994
"312",2,13394330,13394633
"313",3,13394330,13394633
"314",2,13464914,13473211
"315",3,13464914,13465962
"316",2,13598123,13605489
"317",3,13605268,13605489
"318",2,13637797,13639038
"319",2,13720355,13732276
"320",2,13748518,13753775
"321",2,13828764,13855021
"322",3,13848713,13849226
"323",2,13878385,13879200
"324",2,13901286,13938238
"325",2,14133456,14139873
"326",3,14139264,14139873
"327",2,14184625,14198975
"328",2,14385929,14387652
"329",3,14385929,14386189
"330",2,14433834,14434252
"331",2,14571792,14598608
"332",3,14571792,14576010
"333",2,14618974,14625122
"334",2,14751131,14755188
"335",3,14751131,14751671
"336",2,14777455,14782536
"337",2,14852618,14859221
"338",3,14857881,14859221
"339",2,14938943,14953849
"340",3,14938943,14940467
"341",2,15003246,15010203
"342",3,15009377,15010203
"343",2,15047863,15055173
"344",2,15088926,15090995
"345",2,15107825,15116890
"346",2,15152567,15159734
"347",2,15221336,15221767
"348",2,15390328,15395134
"349",2,15424825,15425361
"350",3,15424825,15425361
"351",2,15439383,15447064
"352",3,15446828,15447064
"353",2,15491725,15492205
"354",2,15569803,15570146
"355",2,15586536,15586825
"356",3,15586536,15586825
"357",2,15615071,15627584
"358",2,15709572,15723205
"359",2,15834515,15838835
"360",3,15834515,15834822
"361",2,15925266,15930029
"362",2,16002119,16002719
"363",3,16002119,16002719
"364",2,16024645,16034117
"365",2,16057706,16062016
"366",3,16061571,16062016
"367",2,16203403,16203903
"368",2,16263692,16271659
"369",2,16317126,16323566
"370",2,16402058,16402479
"371",2,16463474,16475506
"372",3,16474375,16475506
"373",2,16601984,16610406
"374",2,16669367,16673530
"375",2,16773544,16773774
"376",3,16773544,16773774
"377",2,16929775,16941444
"378",2,17013229,17013619
"379",2,17056756,17057346
"380",3,17056756,17057346
"381",2,17150245,17168319
"382",2,17361021,17385444
"383",2,17406981,17416385
"384",2,17470306,17484975
"385",2,17510430,17531030
"386",3,17529765,17531030
"387",2,17600270,17606501
"388",2,17767656,17781738
"389",2,17987172,18000874
"390",2,18030553,18041644
"391",2,18084977,18085445
"392",2,18128924,18135246
"393",2,18154471,18180118
"394",2,18271823,18276083
"395",2,18306871,18308622
"396",2,18362922,18365474
"397",2,18429240,18435120
"398",2,18495673,18500004
"399",2,18604395,18605610
"400",2,18632176,18640703
"401",3,18632176,18632846
"402",2,18657223,18657648
"403",2,18676180,18699750
"404",2,18746983,18760905
"405",2,19030929,19056913
"406",3,19030929,19032085
"407",2,19132027,19140545
"408",2,19315031,19318074
"409",2,19400891,19401407
"410",2,19472105,19514128
"411",3,19472105,19472484
"412",3,19488581,19489736
"413",2,19530242,19533463
"414",2,19603200,19611731
"415",2,19713561,19714006
"416",2,19823527,19836428
"417",2,19950489,19950879
"418",2,19968611,19977770
"419",2,20051191,20052166
"420",3,20051191,20052166
"421",2,20207551,20236637
"422",2,20295246,20295756
"423",2,20430498,20443919
"424",2,20736264,20753971
"425",2,20772074,20772880
"426",2,20821330,20824959
"427",2,20854712,20859271
"428",2,21060837,21061272
"429",2,21113405,21113776
"430",2,21226727,21230770
"431",2,21345450,21359749
"432",2,21466562,21476328
"433",2,21528029,21532457
"434",2,21563737,21572573
"435",2,21622036,21629390
"436",2,21701924,21702907
"437",2,21923317,21926937
"438",2,22015118,22019782
"439",2,22083140,22089791
"440",2,22338721,22342313
"441",2,22385062,22385948
"442",3,22385062,22385948
"443",2,22544495,22548801
"444",3,22544495,22546030
"445",2,22635167,22639427
"446",3,22635167,22636750
"447",2,22706140,22707652
"448",2,22763813,22776955
