"","level","start","end"
"1",1,0.0149437791833837,189.986116091273
"2",2,2.09591007946092,2.10003221332168
"3",2,3.16462171090675,3.17222406369738
"4",2,14.2814004508592,14.3068206319334
"5",2,33.8939733787515,33.9039006289088
"6",2,40.1170183198667,40.1205889898739
"7",2,56.065787167275,56.0731658910991
"8",2,56.4579900573426,56.4671472386166
"9",2,59.5121240245071,59.5159741192775
"10",2,67.2300501575177,67.2442036515637
"11",2,76.9744361133521,76.9837081130471
"12",2,93.1840987373506,93.1904561889982
"13",2,94.4400673702961,94.4463714741097
"14",2,94.6074600084418,94.6177844307197
"15",2,99.6978432538654,99.7037877841241
"16",2,104.686857124826,104.697661354346
"17",2,107.551142551887,107.573858559751
"18",2,108.865188968686,108.879752976691
"19",2,116.406253854556,116.423991952363
"20",2,117.1367252001,117.143321900482
"21",2,117.623657814215,117.64681572553
"22",2,119.432253482237,119.434457504791
"23",2,120.431775876292,120.447481436101
"24",2,126.419294157493,126.442143150172
"25",2,127.993104233668,127.999679260859
"26",2,134.852254925127,134.873506846341
"27",2,135.929927827258,135.935490616602
"28",2,136.091971767924,136.108872367207
"29",2,137.789570835691,137.820288360659
"30",2,159.55730131434,159.566412489577
"31",2,165.16618926402,165.173455421181
"32",2,166.177546866128,166.196906814951
"33",2,168.241848091101,168.256716216739
"34",2,168.736328948176,168.75006020088
"35",2,173.099126820209,173.106818678303
"36",2,177.109701138702,177.124764019265
"37",2,177.635287793619,177.645625164283
"38",2,189.794494923902,189.805824068952
