"","level","start","end"
"1",1,1.1561,185.805833333333
"2",2,1.1561,1.16366666666667
"3",3,1.1561,1.16366666666667
"4",4,1.1561,1.16366666666667
"5",2,5.1728,5.17996666666667
"6",3,5.1728,5.17996666666667
"7",4,5.1728,5.17996666666667
"8",2,16.2174333333333,16.2245
"9",3,16.2174333333333,16.2245
"10",4,16.2174333333333,16.2245
"11",2,34.5229,34.5570333333333
"12",3,34.5229,34.5570333333333
"13",2,64.8787333333333,64.8855
"14",3,64.8787333333333,64.8855
"15",4,64.8787333333333,64.8855
"16",2,87.9627666666667,88.7915333333333
"17",2,91.1872666666667,91.1951666666667
"18",3,91.1872666666667,91.1951666666667
"19",4,91.1872666666667,91.1951666666667
"20",2,96.9255,96.9336666666667
"21",3,96.9255,96.9336666666667
"22",2,102.7348,102.7454
"23",3,102.7348,102.7454
"24",2,104.053866666667,104.369566666667
"25",3,104.053866666667,104.061033333333
"26",4,104.053866666667,104.061033333333
"27",2,106.824033333333,109.5052
"28",3,106.824033333333,106.8319
"29",4,106.824033333333,106.8319
"30",3,109.497333333333,109.5052
"31",4,109.497333333333,109.5052
"32",2,119.044633333333,119.306166666667
"33",2,138.4394,138.7451
"34",3,138.4394,138.446933333333
"35",4,138.4394,138.446933333333
"36",2,144.579933333333,144.877733333333
"37",3,144.579933333333,144.588266666667
"38",2,151.142433333333,151.149566666667
"39",3,151.142433333333,151.149566666667
"40",4,151.142433333333,151.149566666667
"41",2,152.542066666667,152.549966666667
"42",3,152.542066666667,152.549966666667
"43",4,152.542066666667,152.549966666667
"44",2,154.7523,155.3681
"45",2,156.668666666667,157.2849
"46",3,156.668666666667,156.6789
"47",2,162.0241,162.8074
"48",3,162.0241,162.031433333333
"49",4,162.0241,162.031433333333
"50",3,162.798866666667,162.8074
"51",2,166.255633333333,166.995266666667
"52",3,166.255633333333,166.263333333333
"53",4,166.255633333333,166.263333333333
"54",2,170.771733333333,171.6327
"55",3,170.771733333333,170.8074
"56",4,170.771733333333,170.8074
"57",2,172.894966666667,172.903766666667
"58",3,172.894966666667,172.903766666667
"59",2,174.568733333333,174.576633333333
"60",3,174.568733333333,174.576633333333
"61",4,174.568733333333,174.576633333333
"62",2,176.335066666667,178.422166666667
"63",3,176.335066666667,176.487966666667
"64",4,176.465433333333,176.487966666667
"65",2,181.677066666667,183.1563
"66",3,183.147666666667,183.1563
"67",2,185.391733333333,185.805833333333
"68",3,185.769933333333,185.805833333333
